epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45431,1.55182,3.88322,1.25165,0,0,0,0,1.51243,3.95,1.13345,0,0,0
2,15.6448,1.7742,4.01776,1.35582,0,0,0,0,1.44502,3.94359,1.11306,1.63399e-05,1.63399e-05,1.63399e-05
3,23.1,1.71488,3.97617,1.2518,0,0,0,0,1.33923,3.93663,1.07931,3.20197e-05,3.20197e-05,3.20197e-05
4,29.3143,1.50759,3.95436,1.16124,0,0,0,0,1.19114,3.9256,1.03325,4.70394e-05,4.70394e-05,4.70394e-05
5,35.351,1.34655,3.87018,1.11319,0.00949,0.06977,0.00509,0.0044,1.03272,3.91305,0.99087,6.13989e-05,6.13989e-05,6.13989e-05
6,42.1533,1.13331,3.61563,0.98969,0.01824,0.13953,0.01052,0.00758,0.88381,3.89088,0.95384,7.50984e-05,7.50984e-05,7.50984e-05
7,48.4635,1.08058,3.55625,0.97287,0.01754,0.13953,0.01039,0.00896,0.77719,3.86132,0.92281,8.81376e-05,8.81376e-05,8.81376e-05
8,55.2594,1.00685,3.28504,0.95209,0.03989,0.32558,0.02837,0.01931,0.74642,3.82249,0.90392,0.000100517,0.000100517,0.000100517
9,62.3691,1.01222,3.11312,0.92406,0.0831,0.69767,0.07588,0.05445,0.75923,3.74503,0.88892,0.000112236,0.000112236,0.000112236
10,69.3456,0.99292,2.76808,0.89404,0.1105,0.93023,0.14288,0.1036,0.74192,3.62066,0.86797,0.000123295,0.000123295,0.000123295
11,75.8122,1.01757,2.36014,0.89062,0.11634,0.97674,0.15175,0.11755,0.76542,3.53673,0.85791,0.000133693,0.000133693,0.000133693
12,82.3311,1.052,2.04835,0.90005,0.11898,0.97674,0.1485,0.11832,0.76738,3.45639,0.85146,0.000143432,0.000143432,0.000143432
13,88.9342,0.93924,1.54587,0.88742,0.11831,0.97674,0.15319,0.11905,0.77637,3.37846,0.85291,0.00015251,0.00015251,0.00015251
14,95.6382,1.00466,1.33401,0.85912,0.11932,0.97674,0.23528,0.18936,0.79344,3.2816,0.85562,0.000160929,0.000160929,0.000160929
15,101.963,0.92604,1.04074,0.87565,0.11864,0.97674,0.56478,0.43952,0.79035,3.18126,0.8535,0.000168687,0.000168687,0.000168687
16,108.528,0.94499,1.05577,0.86961,0.11602,0.97674,0.80241,0.61065,0.82208,3.08017,0.85942,0.000175785,0.000175785,0.000175785
17,114.887,0.88718,0.9013,0.87588,0.11382,0.97674,0.91503,0.68149,0.82973,2.98336,0.85965,0.000182223,0.000182223,0.000182223
18,121.291,0.83578,1.06496,0.88098,0.11382,0.97674,0.91503,0.68149,0.82973,2.98336,0.85965,0.000188001,0.000188001,0.000188001
19,127.489,0.8964,0.9027,0.86,0.11413,0.97674,0.95618,0.70935,0.86724,2.89664,0.87299,0.000193119,0.000193119,0.000193119
20,133.27,0.83305,0.77255,0.8664,0.11413,0.97674,0.95618,0.70935,0.86724,2.89664,0.87299,0.000197576,0.000197576,0.000197576
21,139.294,0.875,0.80716,0.85315,0.11475,0.97674,0.95833,0.7016,0.85172,2.81668,0.87001,0.000201374,0.000201374,0.000201374
22,145.046,0.84346,0.89529,0.8544,0.11475,0.97674,0.95833,0.7016,0.85172,2.81668,0.87001,0.000204511,0.000204511,0.000204511
23,151.005,0.77398,0.84108,0.85817,0.11932,0.97674,0.95748,0.72218,0.81939,2.75751,0.86552,0.000206988,0.000206988,0.000206988
24,157.281,0.86863,1.09685,0.87044,0.11932,0.97674,0.95748,0.72218,0.81939,2.75751,0.86552,0.000208805,0.000208805,0.000208805
25,164.499,0.86021,0.78995,0.85934,0.11864,0.97674,0.92072,0.71821,0.81105,2.72153,0.86961,0.000209962,0.000209962,0.000209962
26,171.491,0.81684,0.7694,0.85843,0.11864,0.97674,0.92072,0.71821,0.81105,2.72153,0.86961,0.000210459,0.000210459,0.000210459
27,178.652,0.85886,0.76958,0.87825,0.12,0.97674,0.90393,0.71776,0.79119,2.69146,0.86893,0.000210295,0.000210295,0.000210295
28,185.036,0.7798,0.71732,0.84863,0.12,0.97674,0.90393,0.71776,0.79119,2.69146,0.86893,0.000209472,0.000209472,0.000209472
29,191.378,0.74259,0.74535,0.86921,0.12245,0.97674,0.91763,0.74781,0.78438,2.66002,0.86963,0.000207988,0.000207988,0.000207988
30,198.132,0.75501,0.73144,0.84702,0.12245,0.97674,0.91763,0.74781,0.78438,2.66002,0.86963,0.000205844,0.000205844,0.000205844
31,204.115,0.77306,0.90951,0.85877,0.12209,0.97674,0.91202,0.75412,0.78662,2.65129,0.87169,0.000203041,0.000203041,0.000203041
32,209.758,0.8592,0.78449,0.85847,0.12209,0.97674,0.91202,0.75412,0.78662,2.65129,0.87169,0.000199577,0.000199577,0.000199577
33,215.156,0.72641,0.72745,0.85029,0.12104,0.97674,0.90999,0.75328,0.78172,2.65676,0.86926,0.000195452,0.000195452,0.000195452
34,220.52,0.74827,0.67949,0.86843,0.12104,0.97674,0.90999,0.75328,0.78172,2.65676,0.86926,0.000190668,0.000190668,0.000190668
35,226.066,0.77177,0.693,0.84994,0.125,0.97674,0.91642,0.75252,0.76188,2.66674,0.86628,0.000185224,0.000185224,0.000185224
36,231.552,0.75906,0.69972,0.85053,0.125,0.97674,0.91642,0.75252,0.76188,2.66674,0.86628,0.000179119,0.000179119,0.000179119
37,237.97,0.7524,0.67388,0.86719,0.12389,0.97674,0.92936,0.77207,0.76168,2.66841,0.86574,0.000172354,0.000172354,0.000172354
38,244.928,0.72635,0.68498,0.85709,0.12389,0.97674,0.92936,0.77207,0.76168,2.66841,0.86574,0.00016493,0.00016493,0.00016493
39,251.742,0.65243,0.67763,0.85214,0.12575,0.97674,0.93337,0.76752,0.7639,2.66097,0.86497,0.000156845,0.000156845,0.000156845
40,258.811,0.74122,0.69318,0.85891,0.12575,0.97674,0.93337,0.76752,0.7639,2.66097,0.86497,0.0001481,0.0001481,0.0001481
41,265.458,0.70199,0.68944,0.8481,0.12463,0.97674,0.94496,0.78156,0.75251,2.64091,0.86201,0.000138694,0.000138694,0.000138694
42,272.531,0.67685,0.68303,0.84351,0.12463,0.97674,0.94496,0.78156,0.75251,2.64091,0.86201,0.000128629,0.000128629,0.000128629
43,279.494,0.64078,0.64107,0.84124,0.12689,0.97674,0.95913,0.79621,0.74092,2.6099,0.85981,0.000117904,0.000117904,0.000117904
44,285.734,0.6255,0.6245,0.84816,0.12689,0.97674,0.95913,0.79621,0.74092,2.6099,0.85981,0.000106518,0.000106518,0.000106518
45,292.471,0.66402,0.63104,0.84858,0.12727,0.97674,0.95958,0.79919,0.72986,2.57169,0.85738,9.44722e-05,9.44722e-05,9.44722e-05
46,301.138,0.62925,0.63109,0.84578,0.12727,0.97674,0.95958,0.79919,0.72986,2.57169,0.85738,8.17663e-05,8.17663e-05,8.17663e-05
47,311.679,0.63099,0.62331,0.84279,0.12766,0.97674,0.9595,0.80587,0.71917,2.52012,0.85613,6.84003e-05,6.84003e-05,6.84003e-05
48,320.99,0.61954,0.62183,0.84927,0.12766,0.97674,0.9595,0.80587,0.71917,2.52012,0.85613,5.43742e-05,5.43742e-05,5.43742e-05
49,328.441,0.65859,0.6196,0.8459,0.12613,0.97674,0.95944,0.80356,0.71106,2.46246,0.85516,3.96879e-05,3.96879e-05,3.96879e-05
50,334.692,0.68494,0.62918,0.85372,0.12613,0.97674,0.95944,0.80356,0.71106,2.46246,0.85516,2.43415e-05,2.43415e-05,2.43415e-05
